% Model,ConnectedTriangle_PHZ051G02_X148G55H247p6.mph
% Version,COMSOL 5.4.0.295
% Date,"Jan 16 2020, 13:46"
% Table,"Bowtie tip average norm E abs and arg (rad) - Bowtie tip average norm E abs and arg (rad) (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,4.896912593952874,1.1998002588410568
8.200000000000001E-7,3.656005585365854E14,7.202921541419606,-2.8180530567612494
8.400000000000001E-7,3.5689578333333325E14,7.948772508523134,-2.5805798418846666
8.6E-7,3.485958813953488E14,9.055540914610742,-2.3915288127428447
8.8E-7,3.406732477272727E14,10.247050492864583,-2.1788470515316942
9.000000000000001E-7,3.3310273111111106E14,11.46076957873452,-1.9762909925194667
9.200000000000001E-7,3.258613673913043E14,12.736818773448293,-1.779440063197967
9.400000000000001E-7,3.189281468085106E14,14.16476643946621,-1.585379294873751
9.600000000000001E-7,3.122838104166666E14,15.764730956810215,-1.3916663828614917
9.800000000000001E-7,3.059106714285714E14,17.553693362161503,-1.1961819081777554
1.0000000000000002E-6,2.9979245799999994E14,19.595652448970277,-0.9953384987036288
1.02E-6,2.9391417450980394E14,21.86055510197701,-0.7872561933164743
1.0400000000000002E-6,2.882619788461538E14,24.300270662195178,-0.5699573710564951
1.06E-6,2.828230735849057E14,26.828145936208404,-0.3420251104836519
1.08E-6,2.7758560925925922E14,29.318407582521303,-0.10378803039187161
1.1E-6,2.725385981818182E14,31.635685660394543,0.1445897626758542
1.12E-6,2.676718375E14,33.794678489129346,0.40444891470977373
1.14E-6,2.6297584035087716E14,35.73189409375054,0.6886234839257198
1.1600000000000001E-6,2.58441774137931E14,36.37952000634163,1.016252630935239
1.1800000000000001E-6,2.5406140508474572E14,33.4125473417423,1.3614798097274274
1.2E-6,2.4982704833333334E14,31.393773709469276,1.6145624874829092
1.2200000000000002E-6,2.4573152295081962E14,21.783474153499604,1.8702364340128517
1.24E-6,2.417681112903226E14,18.79394360971876,1.8727101950285514
1.26E-6,2.3793052222222222E14,17.66595081095812,1.9236385743879367
1.28E-6,2.342128578125E14,16.814632400796313,1.9987970791811074
1.3E-6,2.306095830769231E14,16.041654589027118,2.0794174360439746
1.32E-6,2.2711549848484847E14,15.334787687135654,2.159011139127037
1.34E-6,2.2372571492537312E14,14.69522879564159,2.2356099332163755
1.3600000000000001E-6,2.2043563088235294E14,14.12029903674077,2.308758738524118
1.3800000000000001E-6,2.1724091159420288E14,13.604539386772139,2.378510256420077
1.4000000000000001E-6,2.1413746999999997E14,13.140408746478547,2.4449507310555334
1.42E-6,2.1112144929577466E14,12.721120594791538,2.5082508686679255
1.4400000000000002E-6,2.0818920694444444E14,12.343194456156464,2.5689042587180513
1.46E-6,2.053373E14,12.001414872811626,2.627130331534433
1.4800000000000002E-6,2.025624716216216E14,11.691257854760725,2.68312354991896
1.5E-6,1.9986163866666666E14,11.408832530697634,2.7370549578925165
1.52E-6,1.972318802631579E14,11.15080314657289,2.789074911709824
1.54E-6,1.9467042727272728E14,10.914310313686752,2.8393159497041185
1.56E-6,1.9217465256410256E14,10.696899086132413,2.887895419712525
1.5800000000000001E-6,1.8974206202531644E14,10.496456268651688,2.9349177537209745
1.6E-6,1.8737028625E14,10.31115705664185,2.9804763874144533
